ticker,name,price,currency,price_eur,mcap_eur_b,pe,fwd_pe,pb,div_yield,fcf_yield,debt_equity,num_analysts,sector,dist_high,h52,l52
AO.L,AO WORLD PLC ORD 0.25P,99.248,GBp,1.13787832,0.0063480365888000006,49.624004,14.012141,368.9517,0,13.491344733441371,0.41384,5,Consumer Cyclical,-15.461669505962522,117.4,83.0
GAMA.L,GAMMA COMMUNICATIONS PLC ORD 0,896.7465,GBp,10.2811986225,0.009437489043200001,12.996326,9.56142,231.53796,2.24,13.341934695089808,0.17763,9,Communication Services,-38.069993093922655,1448.0,867.575
JD.L,JD SPORTS FASHION PLC ORD 0.05,82.42,GBp,0.9449453000000001,0.04650391549056001,8.242,7.186955,152.3475,1.24,13.241577191774326,1.15607,17,Consumer Cyclical,-22.377826541471634,106.181,61.04
CAP.PA,CAPGEMINI,106.35,EUR,106.35,17.910112256,11.995491,8.37343,1.6481049,2.99,12.998243487949694,0.55225,18,Technology,-43.02169836592553,186.65,106.05
DCC.L,DCC PLC ORD EUR0.25 (CDI),5015.0,GBp,57.496975,0.049115698990079996,38.875973,10.022683,188.70409,4.23,12.86963259546946,0.8423999999999999,12,Energy,-8.512847605572347,5481.644,4188.0
COA.L,COATS GROUP PLC ORD 5P,88.7,GBp,1.0169455,0.01948119298816,22.175,11.57208,514.2269,2.69,11.634967639700402,1.6274600000000001,7,Consumer Cyclical,-5.537806176783815,93.9,64.8
RNK.L,RANK GROUP PLC ORD 13 8/9P,93.0,GBp,1.066245,0.00499460636304,11.625,9.781237,114.67324,3.17,11.600762810611903,0.61992,5,Consumer Cyclical,-44.04332129963899,166.2,75.0
JFJ.L,JPMORGAN JAPANESE INVESTMENT T,816.253,GBp,9.358340645,0.014829339495680001,5.478208,,107.6993,1.08,11.10557000599899,0.053380000000000004,0,Financial Services,-0.33540903540903017,819.0,475.545
BNZL.L,BUNZL PLC ORD 32 1/7P,2148.0,GBp,24.626820000000002,0.07936970975488,14.813792,12.10782,275.73813,3.42,10.772401662857671,1.0972199999999999,21,Consumer Defensive,-38.41743119266055,3488.0,1981.0
PAGE.L,PAGEGROUP PLC ORD 1P,204.4,GBp,2.343446,0.007390825482880001,51.1,25.119822,294.9495,8.02,10.61856132982571,0.76457,10,Industrials,-41.49971379507727,349.4,189.8
INDU-C.ST,"Industrivärden, AB ser. C",489.6,SEK,42.5952,18.396828794879998,5.972917,,1.1070036,1.79,10.511434866220995,0.038130000000000004,1,Financial Services,-0.3257328990227944,491.2,298.8
ITV.L,ITV PLC ORD 10P,81.9,GBp,0.9389835000000001,0.03506040878848,16.38,10.007332,183.22148,5.97,10.443787146951705,0.51386,6,Communication Services,-7.874015748031496,88.9,63.85
DG.PA,VINCI,134.2,EUR,134.2,74.47416832,15.496535,13.129111,2.4261928,3.76,10.436001313374586,1.18763,21,Industrials,-0.4081632653061309,134.75,104.0
URW.PA,UNIBAIL-RODAMCO-WESTFIELD,96.62,EUR,96.62,13.85331712,18.093634,10.403163,0.90237504,3.64,10.415104855406646,1.22413,14,Real Estate,-1.1256651657797732,97.72,61.96
JDW.L,WETHERSPOON ( J.D.) PLC ORD 2P,723.0,GBp,8.289195000000001,0.008737279485440001,12.684211,12.491361,221.16855,3.33,10.31231440337319,3.30939,8,Consumer Cyclical,-11.233885819521179,814.5,518.5
MGAM.L,MORGAN ADVANCED MATERIALS PLC ,242.5,GBp,2.7802625,0.0076794184272000006,24.25,12.744376,214.98227,5.06,10.198724995449483,1.08206,9,Industrials,-13.082437275985665,279.0,167.0
CS.PA,AXA,38.03,EUR,38.03,79.506341888,11.55927,9.13116,1.7834365,5.59,10.130009678153236,1.16604,18,Financial Services,-12.795230451731252,43.61,34.0
GBG.L,GB GROUP PLC ORD 2.5P,212.0,GBp,2.4305800000000004,0.0057346201995200005,53.0,10.205555,93.35095,1.96,10.117982603426228,0.16351,10,Technology,-42.45697844850986,368.42,209.0
IMB.L,IMPERIAL BRANDS PLC ORD 10P,3316.0,GBp,38.017939999999996,0.29961207652352,13.317269,8.8111105,552.85095,4.91,9.538794296549817,1.8901,13,Consumer Defensive,-8.701446019316968,3632.04,2638.0
VIE.PA,VEOLIA ENVIRON.,32.82,EUR,32.82,24.006821888,21.31169,13.64345,3.5627441,4.33,9.502507489924357,2.36502,17,Industrials,-0.5454545454545446,33.0,26.78
SRP.L,SERCO GROUP PLC ORD 2P,303.4,GBp,3.478481,0.03441357880320001,60.679996,16.944988,353.61307,1.41,9.429490033330264,1.09836,11,Industrials,-2.443729903536985,311.0,150.5
SKF-B.ST,"SKF, AB ser. B",255.4,SEK,22.2198,10.124439257088,29.62877,14.236342,2.1714177,3.06,9.398775714376624,0.27556,16,Industrials,-1.6557566422795469,259.7,157.7
VALMT.HE,Valmet Corporation,28.5,EUR,28.5,5.252466688,18.756578,11.226178,2.0326536,4.89,9.324190805796121,0.56409,6,Industrials,-11.353032659409017,32.15,21.0
AAF.L,AIRTEL AFRICA PLC ORD USD0.50,340.4,GBp,3.902686,0.14205692217344001,30.909092,19.069492,592.5875,1.51,9.197580777125184,1.98785,8,Communication Services,-9.323388385721897,375.4,135.1
AD.AS,KONINKLIJKE AHOLD DELHAIZE N.V,38.37,EUR,38.37,34.203813888,16.90749,13.1993,2.4708686,3.4,9.130560919978773,1.43168,16,Consumer Defensive,-1.006191950464398,38.76,32.13
MSLH.L,MARSHALLS PLC ORD 25P,181.4,GBp,2.0797510000000003,0.00525870089536,20.155554,12.395791,68.40121,4.38,8.709884040070403,0.31111,7,Basic Materials,-38.612521150592215,295.5,155.0
RAT.L,RATHBONES GROUP PLC ORD 5P,2175.0,GBp,24.936375,0.025671961328640004,36.864407,11.592086,169.10278,5.55,8.364746551734388,0.0697,10,Financial Services,-3.3333333333333335,2250.0,1374.0
AKZA.AS,AKZO NOBEL,60.08,EUR,60.08,10.27682304,16.237839,13.17102,2.2063901,3.29,8.31604300933842,1.0083,17,Basic Materials,-5.385826771653546,63.5,48.64
ADM.L,ADMIRAL GROUP PLC ORD 0.1P,2746.0,GBp,31.482890000000005,0.09410299419648001,10.095588,11.524548,586.00085,6.47,7.7474621600857745,1.1044,15,Financial Services,-25.501899077590885,3686.0,2624.0
BYIT.L,BYTES TECHNOLOGY GROUP PLC ORD,293.84,GBp,3.3688756,0.007962139824,13.992381,12.829761,1920.5228,3.31,7.553833003875166,0.035,9,Technology,-47.8081705150977,563.0,290.8
DOM.L,DOMINO'S PIZZA GROUP PLC ORD  ,195.8704,GBp,2.245654136,0.008569588176320002,9.79352,10.688699,-932.71625,5.63,7.440232825444834,0,9,Consumer Cyclical,-35.31360634081903,302.8,164.031
INF.L,INFORMA PLC ORD 0.1P,839.2,GBp,9.621428000000002,0.12280190923776,139.86667,14.544446,189.9502,2.42,7.402885744780155,0.6106900000000001,15,Communication Services,-16.079999999999995,1000.0,634.2
WOSG.L,WATCHES OF SWITZERLAND GROUP P,488.2,GBp,5.597213,0.012952629426560001,16.273333,10.558872,193.73016,0,7.3854578237096975,1.074,11,Consumer Cyclical,-14.575678040244972,571.5,315.0
GFRD.L,GALLIFORD TRY HOLDINGS PLC ORD,535.0,GBp,6.133775,0.005980528490240001,16.71875,13.902243,434.25323,3.55,7.30397824728815,0.44061999999999996,5,Industrials,-3.776978417266187,556.0,294.0
ENI.MI,ENI,18.164,EUR,18.164,53.619347456,22.15366,12.056574,1.1108664,5.8,7.2914447368242135,0.65468,23,Energy,-0.30735455543357515,18.22,11.01
WKL.AS,WOLTERS KLUWER,62.8,EUR,62.8,14.170548224,13.1890745,10.909154,16.378815,3.7,7.202438521548621,5.91545,14,Industrials,-65.36127964699394,181.3,62.42
HIAB.HE,Hiab Oyj,50.15,EUR,50.15,3.235610624,22.388393,18.369965,3.3143878,2.36,7.184501567516179,0.28017,3,Industrials,-18.05555555555556,61.2,34.38
KNOS.L,KAINOS GROUP PLC ORD 0.5P,736.5,GBp,8.443972500000001,0.009976614800640002,29.46,15.528474,852.43054,3.76,6.921167730317748,0.050519999999999995,10,Technology,-38.10924369747899,1190.0,580.0
KOJAMO.HE,Kojamo Plc,9.71,EUR,9.71,2.331802112,57.117645,19.130228,0.658707,0,6.880944106461123,0.9430299999999999,8,Real Estate,-15.711805555555545,11.52,8.215
JMT.LS,"J.MARTINS,SGPS",20.74,EUR,20.74,13.033725952,20.333334,15.9667425,4.186516,2.87,6.734451984279375,1.57087,20,Consumer Defensive,-10.91065292096221,23.28,19.06
CCC.L,COMPUTACENTER PLC ORD 7 5/9P,3038.14,GBp,34.832275100000004,0.03653144203136,20.809177,15.808577,379.1514,2.29,6.63416935821894,0.21917,11,Technology,-10.904985337243406,3410.0,2072.0
SAMPO.HE,Sampo Plc A,8.976,EUR,8.976,23.8373376,12.129729,14.795523,2.9526315,3.79,6.609379195099373,0.31698,14,Financial Services,-13.609239653512988,10.39,7.92
BN.PA,DANONE,69.14,EUR,69.14,44.235952128,24.245615,17.309359,2.803928,3.07,6.535690660922853,0.95503,22,Consumer Defensive,-13.725979535812327,80.14,63.52
BVI.PA,BUREAU VERITAS,27.86,EUR,27.86,12.360275968,19.213793,17.822985,8.569672,3.18,6.516238197959304,1.74939,18,Industrials,-10.990415335463261,31.3,24.12
SN.L,SMITH & NEPHEW PLC ORD USD0.20,1281.0,GBp,14.686665000000001,0.12467688323072001,31.243904,15.43903,276.87814,2.23,6.445085695517347,0.62392,17,Healthcare,-11.13423517169615,1441.5,937.8
LOGN.SW,LOGITECH N,72.28,CHF,68.666,10.084128460799999,19.535135,16.307173,5.9190574,1.77,6.423436965504627,0.03938,11,Technology,-26.94562361026885,98.94,54.58
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,471.4,GBp,5.4046009999999995,0.04526254032256,14.284847,12.068612,725.2308,2.28,6.423054132626664,0.10479,16,Communication Services,-48.7608695652174,920.0,469.984
BOWL.L,HOLLYWOOD BOWL GROUP PLC ORD 1,265.0,GBp,3.038225,0.00506933615024,13.25,11.099476,292.172,5.03,6.413381587145446,1.55857,8,Consumer Cyclical,-14.239482200647249,309.0,231.5
MANTA.HE,Mandatum Oyj,6.878,EUR,6.878,3.456542976,21.487501,22.360975,2.4742713,4.74,6.376674542466327,0.42149000000000003,6,Financial Services,-4.551762420205388,7.206,4.82
MEGP.L,ME GROUP INTERNATIONAL PLC ORD,140.0,GBp,1.6051,0.0060628369176000015,9.333333,9.003216,270.27026,5.78,6.357071948960978,0.24818,2,Industrials,-41.05263157894737,237.5,130.2
INW.MI,INWIT,8.325,EUR,8.325,7.516351488,19.821428,17.840305,2.0969772,6.27,6.258994150966453,1.39542,19,Real Estate,-22.91666666666668,10.8,7.22
KCR.HE,Konecranes Plc,95.4,EUR,95.4,7.557041664,18.966202,16.051609,3.620356,2.45,6.156675014991687,0.22511,4,Industrials,-8.003857280617162,103.7,47.78
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,818.4,GBp,9.382956,0.08781475904768,22.113514,14.4745,1085.1459,2.58,6.150956959691962,2.19306,19,Technology,-38.69662921348315,1335.0,816.4
EXPN.L,EXPERIAN PLC ORD USD0.10,2395.0,GBp,27.458675,0.2503316748288,22.166666,16.32569,554.7803,1.91,6.030614467787351,1.0524200000000001,18,Industrials,-41.59960985125579,4101.0,2381.0
FSG.L,FORESIGHT GROUP HOLDINGS LIMIT,409.5,GBp,4.6949175,0.00534395867104,14.624999,7.9841685,531.12836,6.04,5.89532756788122,0.21163,7,Financial Services,-17.105263157894736,494.0,296.0
HILS.L,HILL & SMITH PLC ORD 25P,2360.0,GBp,27.057400000000005,0.02143138178368,23.838385,17.018944,398.44675,2.15,5.855840418071751,0.26573,6,Industrials,-0.8403361344537815,2380.0,1463.967
RMV.L,RIGHTMOVE PLC ORD 0.1P,436.5,GBp,5.0044725,0.037987424389120006,16.78077,14.259102,4116.0376,2.29,5.596783286336544,0.06621,17,Communication Services,-47.21886336154776,827.0,433.3
WRT1V.HE,Wärtsilä Corporation,35.65,EUR,35.65,20.977778688,33.63208,27.36708,7.29188,1.55,5.576734130907807,0.20187000000000002,14,Industrials,-0.6963788300835655,35.9,13.57
RI.PA,PERNOD RICARD,83.78,EUR,83.78,21.091946496,12.986047,13.55557,1.3856537,5.66,5.547140944160301,0.7761,20,Consumer Defensive,-22.028850628199166,107.45,71.3
HEIA.AS,HEINEKEN,77.58,EUR,77.58,43.023282176,23.944445,13.592094,2.4493277,2.56,5.5176518943602035,0.86905,23,Consumer Defensive,-6.281710558105826,82.78,64.52
EZJ.L,EASYJET PLC ORD 27 2/7P,486.3,GBp,5.575429500000001,0.04183389116544,7.4769235,6.2855663,103.66894,2.74,5.515459321905352,0.83648,20,Industrials,-17.66000677277345,590.6,401.05
POLN.L,POLLEN STREET GROUP LIMITED OR,892.0,GBp,10.22678,0.0061338685544,10.136364,10.301183,91.93033,5.98,5.496201029905786,0.36112,5,Financial Services,-8.23045267489712,972.0,633.98
SVS.L,SAVILLS PLC ORD 2.5P,1072.0,GBp,12.290480000000002,0.0168674620896,28.210527,12.769201,209.04837,2.03,5.45723018952301,0.9803000000000001,4,Real Estate,-4.7957371225577266,1126.0,858.888
MGNS.L,MORGAN SINDALL GROUP PLC ORD 5,5030.0,GBp,57.66895,0.02710201554304,16.173634,16.16672,348.31384,2.8,5.437538330017129,0.21777999999999997,6,Industrials,-3.0828516377649327,5190.0,2900.0
ITRK.L,INTERTEK GROUP PLC ORD 1P,4446.0,GBp,50.97339,0.07825553922048001,19.848213,16.259151,630.37006,3.52,5.300996676532204,1.23569,20,Industrials,-20.251121076233183,5575.0,4044.0
GNC.L,GREENCORE GROUP PLC ORD 1P (CD,295.0,GBp,3.3821750000000006,0.02680533289472,22.692308,12.343097,258.9991,88.0,5.28760687497071,0.42398,7,Consumer Defensive,-4.0650406504065035,307.5,162.6
ELE.MC,"ENDESA,S.A.",32.56,EUR,32.56,33.789353984,15.649038,15.882465,3.9136705,4.13,5.244436034021573,1.11998,23,Utilities,-0.24509803921568107,32.64,20.76
ERIC-B.ST,"Ericsson, Telefonab. L M ser. ",99.38,SEK,8.646059999999999,28.820338606079996,11.678025,15.625786,3.0245295,2.98,5.24189982595587,0.36516,19,Technology,-1.943759250123334,101.35,65.94
FRE.DE,Fresenius SE & Co. KGaA       ,49.93,EUR,49.93,28.122435584,24.356098,13.434574,1.510193,2.0,5.163582121692807,0.7026300000000001,14,Healthcare,-3.9438245479030347,51.98,31.6
BT-A.L,BT GROUP PLC ORD 5P,202.5,GBp,2.3216625,0.22614807228416,20.25,10.770703,156.25,4.13,5.080460300737547,1.8943299999999998,17,Communication Services,-9.436493738819319,223.6,141.7
